path,name,ext,size,priority_group
template/app/Http/Controllers/Auth/PasswordController.php,PasswordController.php,.php,868,auth
template/app/Http/Controllers/Auth/PasswordResetLinkController.php,PasswordResetLinkController.php,.php,1397,auth
template/app/Http/Controllers/Auth/PrimaryPurposeController.php,PrimaryPurposeController.php,.php,6159,auth
template/app/Http/Controllers/Auth/RegisteredUserController.php,RegisteredUserController.php,.php,13056,auth
template/app/Http/Controllers/Auth/RoleSelectionController.php,RoleSelectionController.php,.php,4117,auth
template/app/Http/Controllers/Auth/SocialAuthController.php,SocialAuthController.php,.php,1700,auth
template/app/Http/Controllers/Auth/VerifyEmailController.php,VerifyEmailController.php,.php,898,auth
template/app/Http/Middleware/APIAuthMiddleware.php,APIAuthMiddleware.php,.php,0,auth
template/app/Http/Middleware/Authenticate.php,Authenticate.php,.php,644,auth
template/app/Http/Middleware/EnsureAuth0Session.php,EnsureAuth0Session.php,.php,838,auth
template/app/Http/Middleware/EnsureMFAIsVerified.php,EnsureMFAIsVerified.php,.php,1959,auth
template/app/Http/Middleware/RedirectIfAuthenticated.php,RedirectIfAuthenticated.php,.php,946,auth
template/app/Http/Middleware/RoleDashboardTelemetryAuthenticate.php,RoleDashboardTelemetryAuthenticate.php,.php,458,auth
template/app/Http/Middleware/VerifyCsrfToken.php,VerifyCsrfToken.php,.php,645,auth
template/app/Http/Requests/Auth/LoginRequest.php,LoginRequest.php,.php,2052,auth
template/app/Http/Requests/Grants/StoreGrantFilterPresetRequest.php,StoreGrantFilterPresetRequest.php,.php,1321,auth
template/app/Http/Requests/Grants/UpdateGrantFilterPresetRequest.php,UpdateGrantFilterPresetRequest.php,.php,331,auth
template/app/Jobs/StreamAdminLoginEvent.php,StreamAdminLoginEvent.php,.php,3512,auth
template/app/Jobs/WomenRealEstate/ReverifyExpiredAgentJob.php,ReverifyExpiredAgentJob.php,.php,649,auth
template/app/Models/AdminLoginAudit.php,AdminLoginAudit.php,.php,1142,auth
template/app/Models/GrantFilterPreset.php,GrantFilterPreset.php,.php,2699,auth
template/app/Models/MFABackupCode.php,MFABackupCode.php,.php,1714,auth
template/app/Models/MFAMethod.php,MFAMethod.php,.php,2471,auth
template/app/Models/UserLoginAudit.php,UserLoginAudit.php,.php,2696,auth
template/app/Providers/AuthServiceProvider.php,AuthServiceProvider.php,.php,6319,auth
template/app/Services/Auth/AdminLoginAuditService.php,AdminLoginAuditService.php,.php,4078,auth
template/app/Services/Auth/Auth0AdminService.php,Auth0AdminService.php,.php,6400,auth
template/app/Services/Auth/Auth0TokenVerifier.php,Auth0TokenVerifier.php,.php,3244,auth
template/app/Services/Auth/UserLoginAuditService.php,UserLoginAuditService.php,.php,1991,auth
template/app/Services/Security/MFAService.php,MFAService.php,.php,3446,auth
template/app/Services/SocialAuthService.php,SocialAuthService.php,.php,5074,auth
template/config/auth.php,auth.php,.php,4779,auth
template/config/auth0.php,auth0.php,.php,2040,auth
template/database/factories/AdminLoginAuditFactory.php,AdminLoginAuditFactory.php,.php,723,auth
template/database/factories/ApprenticeshipProgramFactory.php,ApprenticeshipProgramFactory.php,.php,1257,auth
template/database/factories/GrantFilterPresetFactory.php,GrantFilterPresetFactory.php,.php,913,auth
template/database/factories/GrantProgramFactory.php,GrantProgramFactory.php,.php,2130,auth
template/database/factories/TafeProgramFactory.php,TafeProgramFactory.php,.php,3446,auth
template/database/factories/UserLoginAuditFactory.php,UserLoginAuditFactory.php,.php,1024,auth
template/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php,2014_10_12_100000_create_password_reset_tokens_table.php,.php,739,auth
template/database/migrations/2025_11_16_200000_create_user_login_audits_table.php,2025_11_16_200000_create_user_login_audits_table.php,.php,1106,auth
template/database/migrations/2025_11_20_120000_add_auth0_columns_to_admins_table.php,2025_11_20_120000_add_auth0_columns_to_admins_table.php,.php,1594,auth
template/database/migrations/2025_11_22_000000_create_grant_filter_presets_table.php,2025_11_22_000000_create_grant_filter_presets_table.php,.php,726,auth
template/database/migrations/2025_11_24_140000_add_notification_flags_to_grant_filter_presets_table.php,2025_11_24_140000_add_notification_flags_to_grant_filter_presets_table.php,.php,709,auth
template/database/migrations/2025_11_28_170905_create_mfa_tables.php,2025_11_28_170905_create_mfa_tables.php,.php,1397,auth
template/database/migrations/2025_12_05_120000_create_admin_login_audits_table.php,2025_12_05_120000_create_admin_login_audits_table.php,.php,1157,auth
template/database/seeders/GrantFilterPresetSeeder.php,GrantFilterPresetSeeder.php,.php,1061,auth
template/resources/views/admin/auth/confirm-password.blade.php,confirm-password.blade.php,.php,956,auth
template/resources/views/admin/auth/forgot-password.blade.php,forgot-password.blade.php,.php,2015,auth
template/resources/views/admin/auth/layouts/auth-master.blade.php,auth-master.blade.php,.php,2951,auth
template/resources/views/admin/auth/login.blade.php,login.blade.php,.php,4848,auth
template/resources/views/admin/auth/reset-password.blade.php,reset-password.blade.php,.php,2734,auth
template/resources/views/admin/auth/verify-email.blade.php,verify-email.blade.php,.php,1312,auth
template/resources/views/auth/confirm-password.blade.php,confirm-password.blade.php,.php,886,auth
template/resources/views/auth/forgot-password.blade.php,forgot-password.blade.php,.php,2122,auth
template/resources/views/auth/login.blade.php,login.blade.php,.php,6070,auth
template/resources/views/auth/mfa/backup-codes.blade.php,backup-codes.blade.php,.php,2430,auth
template/resources/views/auth/mfa/challenge.blade.php,challenge.blade.php,.php,2730,auth
template/resources/views/auth/mfa/setup.blade.php,setup.blade.php,.php,2339,auth
template/resources/views/auth/mfa/status.blade.php,status.blade.php,.php,2173,auth
template/resources/views/auth/primary-purpose.blade.php,primary-purpose.blade.php,.php,14363,auth
template/resources/views/auth/register.blade.php,register.blade.php,.php,28070,auth
template/resources/views/auth/reset-password.blade.php,reset-password.blade.php,.php,2870,auth
template/resources/views/auth/role-selection.blade.php,role-selection.blade.php,.php,15018,auth
template/resources/views/auth/verify-email.blade.php,verify-email.blade.php,.php,1246,auth
template/resources/views/components/auth-session-status.blade.php,auth-session-status.blade.php,.php,145,auth
template/resources/views/profile/partials/update-password-form.blade.php,update-password-form.blade.php,.php,2118,auth
template/routes/auth.php,auth.php,.php,2965,auth
viewstemplate/admin/auth/confirm-password.blade.php,confirm-password.blade.php,.php,956,auth
viewstemplate/admin/auth/forgot-password.blade.php,forgot-password.blade.php,.php,1954,auth
viewstemplate/admin/auth/layouts/auth-master.blade.php,auth-master.blade.php,.php,798,auth
viewstemplate/admin/auth/login.blade.php,login.blade.php,.php,4707,auth
viewstemplate/admin/auth/reset-password.blade.php,reset-password.blade.php,.php,2665,auth
viewstemplate/admin/auth/verify-email.blade.php,verify-email.blade.php,.php,1312,auth
viewstemplate/auth/confirm-password.blade.php,confirm-password.blade.php,.php,886,auth
viewstemplate/auth/forgot-password.blade.php,forgot-password.blade.php,.php,2122,auth
viewstemplate/auth/login.blade.php,login.blade.php,.php,6070,auth
viewstemplate/auth/mfa/backup-codes.blade.php,backup-codes.blade.php,.php,2430,auth
viewstemplate/auth/mfa/challenge.blade.php,challenge.blade.php,.php,2730,auth
viewstemplate/auth/mfa/setup.blade.php,setup.blade.php,.php,2339,auth
viewstemplate/auth/mfa/status.blade.php,status.blade.php,.php,2173,auth
viewstemplate/auth/primary-purpose.blade.php,primary-purpose.blade.php,.php,14363,auth
viewstemplate/auth/register.blade.php,register.blade.php,.php,28070,auth
viewstemplate/auth/reset-password.blade.php,reset-password.blade.php,.php,2870,auth
viewstemplate/auth/role-selection.blade.php,role-selection.blade.php,.php,15018,auth
viewstemplate/auth/verify-email.blade.php,verify-email.blade.php,.php,1246,auth
viewstemplate/components/auth-session-status.blade.php,auth-session-status.blade.php,.php,145,auth
viewstemplate/profile/partials/update-password-form.blade.php,update-password-form.blade.php,.php,2118,auth
code/.tmp/laravel-social-starter/laravel-social-starter/app/Http/Controllers/Social/ProfileController.php,ProfileController.php,.php,1812,profile
code/.tmp/laravel-social-starter/laravel-social-starter/app/Models/Profile.php,Profile.php,.php,953,profile
code/.tmp/laravel-social-starter/laravel-social-starter/app/Policies/ProfilePolicy.php,ProfilePolicy.php,.php,253,profile
